AppTime,HMDPos_x,HMDPos_y,HMDPos_z,HMDRot_x,HMDRot_y,HMDRot_z,HMDRot_w,EyeBlink_left,EyeBlink_right,EyePos_org_x,EyePos_org_y,EyePos_org_z,EyePos_dir_x,EyePos_dir_y,EyePos_dir_z,Eye_time_stamp,LeftPos_x,LeftPos_y,LeftPos_z,LeftVelocity,LeftRot_x,LeftRot_y,LeftRot_z,LeftRot_w,RightPos_x,RightPos_y,RightPos_z,RightVelocity,RightRot_x,RightRot_y,RightRot_z,RightRot_w
33.55593,-0.0254861,1.46184,-0.1777928,0.1431189,-0.0587373,0.02713119,0.02713119,False,False,-3.451237,1.163529,2.197903,0.3182479,-0.427455,-0.8461484,33.54907,-0.1832588,0.6091284,-0.1232201,0.170007,0.3594311,0.1405562,-0.2225733,-0.2225733,0.1822633,0.6287588,-0.1382921,0.1675958,0.3333482,-0.1843062,0.3403344,0.3403344,
33.59152,-0.02796559,1.460562,-0.1778259,0.1488668,-0.07040738,0.02776359,0.02776359,False,False,-3.458072,1.162438,2.197047,0.3400897,-0.4018899,-0.8501841,33.58538,-0.1870526,0.6096003,-0.1262321,0.1785594,0.3610879,0.1232775,-0.2159983,-0.2159983,0.1790149,0.6287304,-0.1338847,0.1629447,0.3283618,-0.1943935,0.345398,0.345398,
33.62069,-0.03198212,1.457736,-0.1781141,0.1598904,-0.08998772,0.02852562,0.02852562,False,False,-3.449795,1.160787,2.198076,0.3342647,-0.4325564,-0.8373444,33.61486,-0.190532,0.6099942,-0.1288781,0.185494,0.3637943,0.1040447,-0.2084259,-0.2084259,0.1752851,0.6286193,-0.1297072,0.1582944,0.3238609,-0.2054799,0.3503141,0.3503141,
33.66067,-0.03494999,1.454966,-0.1786491,0.1716908,-0.1059407,0.03013521,0.03013521,False,False,-3.507451,1.162213,2.190379,0.2605235,-0.4221078,-0.8682979,33.65438,-0.1954721,0.6097449,-0.1332881,0.1962109,0.3691272,0.08313508,-0.2000312,-0.2000312,0.1710721,0.6282174,-0.1254537,0.1539914,0.3198744,-0.2176731,0.3545488,0.3545488,
33.68857,-0.03631616,1.45373,-0.1785564,0.1768587,-0.113774,0.03157472,0.03157472,False,False,-3.448299,1.157952,2.199385,0.2956593,-0.4358833,-0.8500502,33.68316,-0.1987389,0.6098413,-0.1363022,0.1953879,0.3730307,0.06735406,-0.1937649,-0.1937649,0.1679029,0.6278032,-0.1220036,0.1548517,0.3171258,-0.227074,0.357362,0.357362,
33.72548,-0.03739072,1.453226,-0.1808832,0.1854611,-0.1394954,0.02650695,0.02650695,False,False,-3.444727,1.156944,2.201852,0.3068336,-0.5033312,-0.8077729,33.71915,-0.2057521,0.6098573,-0.1420875,0.2016028,0.3762116,0.04964961,-0.1867242,-0.1867242,0.1638406,0.6274222,-0.1182489,0.1562511,0.3135805,-0.2381824,0.3602061,0.3602061,
33.75756,-0.03894909,1.451953,-0.1812597,0.1905273,-0.1470574,0.02709226,0.02709226,False,False,-3.442699,1.155128,2.202477,0.3054835,-0.5348746,-0.7877612,33.75127,-0.211074,0.6095642,-0.1468911,0.2032433,0.3790624,0.03579305,-0.1823716,-0.1823716,0.1601343,0.6268392,-0.1154855,0.1575121,0.3100026,-0.2472939,0.3630602,0.3630602,
33.79331,-0.04201019,1.449173,-0.1822278,0.2006295,-0.1601835,0.0278899,0.0278899,False,False,-3.440989,1.153253,2.20321,0.2853803,-0.5447468,-0.7885395,33.78685,-0.2164652,0.6091468,-0.1523795,0.1990282,0.382822,0.01729741,-0.1770402,-0.1770402,0.156082,0.6264835,-0.11106,0.1565209,0.3051966,-0.258855,0.366796,0.366796,
33.82321,-0.04379921,1.44842,-0.1821137,0.2034987,-0.1658482,0.0285479,0.0285479,False,False,-3.4965,1.15253,2.186849,0.2441891,-0.5458574,-0.8015012,33.81746,-0.2214026,0.6089696,-0.157349,0.2004274,0.3849151,0.0009376399,-0.1702121,-0.1702121,0.1528221,0.6263609,-0.1081349,0.1509028,0.3015155,-0.2671115,0.3692314,0.3692314,
33.86211,-0.04127671,1.44381,-0.1776682,0.2116975,-0.1819378,0.02933506,0.02933506,False,False,-3.457578,1.148975,2.195753,0.2892914,-0.5408888,-0.7897673,33.8564,-0.2261711,0.6088307,-0.1637247,0.1951657,0.3871183,-0.01616729,-0.1621557,-0.1621557,0.1484492,0.6262884,-0.1050259,0.1414045,0.297107,-0.2748986,0.3720011,0.3720011,
