AppTime,HMDPos_x,HMDPos_y,HMDPos_z,HMDRot_x,HMDRot_y,HMDRot_z,HMDRot_w,EyeBlink_left,EyeBlink_right,EyePos_org_x,EyePos_org_y,EyePos_org_z,EyePos_dir_x,EyePos_dir_y,EyePos_dir_z,Eye_time_stamp,LeftPos_x,LeftPos_y,LeftPos_z,LeftVelocity,LeftRot_x,LeftRot_y,LeftRot_z,LeftRot_w,RightPos_x,RightPos_y,RightPos_z,RightVelocity,RightRot_x,RightRot_y,RightRot_z,RightRot_w
19.02723,-0.03466618,1.48646,-0.02745068,-0.02800759,0.03163046,0.003813381,0.003813381,False,False,-3.465852,1.186912,2.053504,-0.1400598,-0.1675223,-0.9758529,19.02006,-0.09888661,0.8902292,0.1731565,0.01076401,0.4552255,-0.02901604,0.1458004,0.1458004,0.09862047,0.898255,0.1562639,0.009523462,0.3453411,0.1917946,-0.09022094,-0.09022094,
19.05613,-0.03482342,1.486167,-0.02722321,-0.02672968,0.02959928,0.003109492,0.003109492,False,False,-3.482459,1.186896,2.0532,0.05581471,-0.2701964,-0.9611688,19.04991,-0.0993458,0.8902109,0.1729194,0.01303058,0.4552367,-0.02976163,0.1458587,0.1458587,0.09842652,0.8979481,0.1562629,0.008342621,0.3455538,0.1912799,-0.09012634,-0.09012634,
19.09317,-0.03531387,1.48526,-0.0264251,-0.02227829,0.02345308,0.002105924,0.002105924,False,False,-3.48275,1.18623,2.052603,0.08755573,-0.2980227,-0.9505283,19.08643,-0.09973836,0.8901614,0.172936,0.01455082,0.4553733,-0.03086762,0.1459717,0.1459717,0.09813988,0.8976647,0.156383,0.01073683,0.3461773,0.1907499,-0.09078774,-0.09078774,
19.1251,-0.03558028,1.484659,-0.02587865,-0.01882473,0.02100885,0.002939814,0.002939814,False,False,-3.46924,1.185215,2.052422,0.06928394,-0.2512651,-0.9654307,19.11893,-0.0996877,0.8901652,0.173161,0.0120445,0.4553276,-0.03160277,0.1460753,0.1460753,0.09787536,0.8975595,0.1565714,0.008817429,0.3468629,0.1906884,-0.09065469,-0.09065469,
19.15804,-0.03607038,1.48391,-0.02497511,-0.01283138,0.01883446,0.003803951,0.003803951,False,False,-3.468374,1.184663,2.051933,0.0749804,-0.2527608,-0.9646094,19.15156,-0.1001155,0.8904233,0.1732603,0.01453322,0.4550923,-0.03261014,0.1458239,0.1458239,0.09760803,0.8977238,0.1571306,0.01388532,0.3464221,0.1899769,-0.08984267,-0.08984267,
19.19273,-0.03644136,1.482508,-0.02381264,-0.004805782,0.01599987,0.005454442,0.005454442,False,False,-3.465181,1.183703,2.051303,0.1053062,-0.2748672,-0.9556848,19.18614,-0.100714,0.8906538,0.1731968,0.01538742,0.4544566,-0.03316585,0.1455699,0.1455699,0.09727502,0.8979138,0.1577128,0.01929145,0.3458584,0.1888349,-0.08945672,-0.08945672,
19.22448,-0.03705029,1.480651,-0.02236048,0.004455757,0.01177028,0.006780645,0.006780645,False,False,-3.465334,1.182798,2.050499,0.07930759,-0.285036,-0.9552261,19.21898,-0.1010778,0.8910916,0.1733831,0.01755081,0.453564,-0.03372169,0.1462956,0.1462956,0.09692585,0.8984085,0.1583936,0.02364197,0.3447811,0.1877455,-0.08925994,-0.08925994,
19.25852,-0.03776643,1.478309,-0.02056542,0.01624329,0.006460271,0.007894693,0.007894693,False,False,-3.46977,1.181373,2.049335,0.1497683,-0.3576079,-0.9217712,19.25238,-0.101703,0.8914933,0.1739612,0.02323612,0.4510255,-0.03426285,0.146359,0.146359,0.09649813,0.898743,0.1592507,0.02562737,0.3429587,0.1869823,-0.08828519,-0.08828519,
19.29259,-0.03877622,1.475317,-0.01801854,0.03045762,-0.0008870531,0.00816565,0.00816565,False,False,-3.479556,1.179952,2.047286,0.1544414,-0.3630588,-0.9188669,19.28657,-0.1020675,0.8920333,0.174638,0.02463242,0.4492515,-0.03585835,0.1460262,0.1460262,0.09639084,0.8991681,0.1596913,0.01981054,0.3421059,0.1860759,-0.08738001,-0.08738001,
19.32734,-0.04031595,1.471175,-0.01662292,0.04791751,-0.01057427,0.006845127,0.006845127,False,False,-3.46399,1.177,2.046298,0.1509587,-0.3570594,-0.9217919,19.32095,-0.1023974,0.8924546,0.1747969,0.02184672,0.4478555,-0.03730082,0.1461654,0.1461654,0.09597158,0.8989544,0.1598482,0.01327428,0.3421937,0.1853311,-0.08856973,-0.08856973,
