AppTime,Actor,Event_Category,Event_Type,Object,Attributes
12.45261,SYSTEM,SCENE,START,Start(),AdminEvent.cs
12.52115,SYSTEM,SCENE,START,Start(),scene_name:IntroEvent.cs
13.78472,ADMIN,ACTION,CLICK,introEvent:btn_setting,-
AppTime,Actor,Event_Category,Event_Type,Object,Attributes
8.418091,SYSTEM,SCENE,START,Start(),AdminEvent.cs
8.486597,SYSTEM,SCENE,START,Start(),scene_name:IntroEvent.cs
9.050236,ADMIN,ACTION,CLICK,introEvent:btn_trial,-
9.114233,SYSTEM,SCENE,START,Start(),InstructionEvent.cs
9.840521,ADMIN,ACTION,CLICK,instructionEvent:btn_next,page:1
9.986782,ADMIN,ACTION,CLICK,instructionEvent:btn_next,page:2
10.10565,ADMIN,ACTION,CLICK,instructionEvent:btn_next,page:3
10.26216,ADMIN,ACTION,CLICK,instructionEvent:btn_next,page:4
10.38475,ADMIN,ACTION,CLICK,instructionEvent:btn_next,page:5
10.52781,ADMIN,ACTION,CLICK,instructionEvent:btn_next,page:6
11.028,ADMIN,ACTION,CLICK,instructionEvent:btn_next,page:7
11.81775,ADMIN,ACTION,CLICK,instructionEvent:btn_next,page:8
12.08306,ADMIN,ACTION,CLICK,instructionEvent:btn_next,page:9
12.08362,ADMIN,SCENE,CLICK,instructionEvent:btn_next,LAST_PAGE:4_MartScene
12.75989,ADMIN,ACTION,CLICK,introEvent:StartTestMode,TEST_SCART!!
30.1085,USER,EYE-TRACKING,DETECTED_ITEM,Juice1,0.7878
31.65459,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,1.104
32.2557,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.3866
33.53972,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.9129
35.64153,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.7001
36.27732,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.5306
43.271,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,1.6322
44.57838,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.3301
51.02658,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.759
52.23215,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.4318
64.525,USER,EYE-TRACKING,DETECTED_ITEM,result_message,0.6433
65.04536,USER,EYE-TRACKING,DECISION_MAKING,-,0.4998
67.16917,USER,EYE-TRACKING,DETECTED_ITEM,Smartphone,0.759
74.76067,USER,ACTION,ITEM_ADD,Chip,Chip1
74.76198,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,감자칩 (이)가 추가되었습니다.
74.76954,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
78.09116,USER,ACTION,ITEM_ADD,Apple,Apple1
78.09204,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,사과 (이)가 추가되었습니다.
78.09882,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
80.57794,USER,ACTION,ITEM_ADD,Juice,Juice1
80.57868,SYSTEM,SYSTEM_MESSAGE,ITEM_ADD,screen1_result_message,주스 (이)가 추가되었습니다.
80.58514,SYSTEM,SCREEN,SCREEN_UPDATE,UPDATE,Screen information Updated
85.4914,USER,EYE-TRACKING,DECISION_MAKING,주스,0.6663
86.66777,USER,EYE-TRACKING,DECISION_MAKING,감자칩,0.5021
86.95699,USER,EYE-TRACKING,DECISION_MAKING,사과,23.0986
87.36681,USER,EYE-TRACKING,DECISION_MAKING,사과,0.3679
88.04581,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,14.5634
88.49171,USER,EYE-TRACKING,DETECTED_ITEM,btn_uncheck,0.3291
89.29359,USER,EYE-TRACKING,DECISION_MAKING,감자칩,0.5196
90.37554,USER,ACTION,BTN_TOUCH,btn_pay,Screen1(Home_screen):btn_pay()
90.67797,USER,EYE-TRACKING,DETECTED_ITEM,Total_price,1.1115
90.70001,USER,EYE-TRACKING,DECISION_MAKING,,5.9097
91.17817,USER,EYE-TRACKING,DECISION_MAKING,사과,0.461
91.20021,USER,EYE-TRACKING,DETECTED_ITEM,total_TA,3.5787
91.36592,SYSTEM,SCREEN,SCREEN_CHANGE,ChangeScreen1toScreen3After1s(),screen1:Screen1(home) to Screen3(asking_dc)
92.17275,USER,EYE-TRACKING,DETECTED_ITEM,result_message,0.3451
92.85447,USER,EYE-TRACKING,DETECTED_ITEM,result_message,0.4163
93.05468,USER,ACTION,BTN_TOUCH,btn_yes,Screen3:btn_yes()
94.04921,SYSTEM,SCREEN,SCREEN_CHANGE,ChangeScreen3toScreen4After1s(),Screen3(asking dc) to Screen4(ds)
94.97527,USER,EYE-TRACKING,DETECTED_ITEM,result_message,0.3511
96.16105,USER,ACTION,BTN_TOUCH,Key_A,
96.2533,USER,EYE-TRACKING,DETECTED_ITEM,btn_A,0.6452
96.71404,USER,ACTION,BTN_TOUCH,Key_A,
97.01712,USER,EYE-TRACKING,DETECTED_ITEM,discount_code,0.5226
97.30298,USER,ACTION,BTN_TOUCH,Key_1,
97.94354,USER,EYE-TRACKING,DETECTED_ITEM,btn_apply,0.3942
98.10315,USER,ACTION,BTN_TOUCH,btn_apply,
98.10392,USER,ACTION,CODE_SUCC,59000,screen4
98.10439,SYSTEM,SYSTEM_MESSAGE,CODE_SUCC,result_message,screen4: 할인코드 적용이 완료되었습니다!
99.08511,USER,EYE-TRACKING,DETECTED_ITEM,result_message,0.5089
