AppTime,HMDPos_x,HMDPos_y,HMDPos_z,HMDRot_x,HMDRot_y,HMDRot_z,HMDRot_w,EyeBlink_left,EyeBlink_right,EyePos_org_x,EyePos_org_y,EyePos_org_z,EyePos_dir_x,EyePos_dir_y,EyePos_dir_z,Eye_time_stamp,LeftPos_x,LeftPos_y,LeftPos_z,LeftVelocity,LeftRot_x,LeftRot_y,LeftRot_z,LeftRot_w,RightPos_x,RightPos_y,RightPos_z,RightVelocity,RightRot_x,RightRot_y,RightRot_z,RightRot_w
204.132,-0.02042899,1.541797,-0.01331284,0.1147899,0.03615147,-0.01877305,-0.01877305,False,False,-3.449026,1.244816,2.036132,0.1060889,0.1887946,-0.9762582,204.1269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
204.1659,-0.02067921,1.543092,-0.012157,0.1138246,0.03116088,-0.01922921,-0.01922921,False,False,-3.450038,1.245399,2.035321,-0.1933092,-0.05474551,-0.9796013,204.1612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
204.1969,-0.02077507,1.544296,-0.01105053,0.1143943,0.02828837,-0.020441,-0.020441,False,False,-3.448257,1.245459,2.034779,-0.13672,-0.1217204,-0.9830927,204.1921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
204.2318,-0.0208923,1.545315,-0.01093376,0.1120953,0.02473156,-0.02417857,-0.02417857,False,False,-3.450411,1.245501,2.034335,-0.1884643,-0.202692,-0.9609305,204.2271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
204.2775,-0.02023249,1.54533,-0.01287822,0.1149981,0.02519296,-0.02827955,-0.02827955,False,False,-3.445573,1.247582,2.034805,-0.1466921,-0.2515129,-0.9566568,204.2728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
204.3216,-0.01907195,1.545344,-0.01303187,0.1147991,0.02807379,-0.03458222,-0.03458222,False,False,-3.445946,1.24792,2.035643,-0.2749225,-0.05900148,-0.9596428,204.3168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
204.3655,-0.01791924,1.544161,-0.0142629,0.109186,0.03127249,-0.04234285,-0.04234285,False,False,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
204.4076,-0.01661106,1.543852,-0.0157874,0.1082607,0.03121741,-0.04530337,-0.04530337,False,False,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
204.4531,-0.01400275,1.54422,-0.01697361,0.1084071,0.03889076,-0.04751592,-0.04751592,False,False,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
204.4928,-0.01184408,1.545154,-0.01836174,0.1089864,0.04993514,-0.04425183,-0.04425183,False,False,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
204.5167,-0.01109716,1.545399,-0.01939291,0.1118064,0.05410714,-0.04323409,-0.04323409,False,False,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
204.5383,-0.01036062,1.545619,-0.02072969,0.1157969,0.05847186,-0.04253404,-0.04253404,False,False,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
204.5615,-0.009723539,1.545578,-0.02152642,0.1195712,0.06524747,-0.04055774,-0.04055774,False,False,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
204.5833,-0.00905336,1.545818,-0.02176873,0.1263855,0.06748146,-0.04058477,-0.04058477,False,False,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
204.605,-0.008011621,1.545619,-0.02153986,0.1324987,0.06770454,-0.04221209,-0.04221209,False,False,-3.453768,1.250677,2.040436,-0.08068565,-0.4713435,-0.8782472,204.6009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
204.6273,-0.007202523,1.545007,-0.02145141,0.1332417,0.0681241,-0.04439716,-0.04439716,False,False,-3.4537,1.249859,2.040995,-0.2373046,-0.2116085,-0.9480947,204.622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
204.6497,-0.006324154,1.544864,-0.02062479,0.1395433,0.07003917,-0.04491831,-0.04491831,False,False,-3.453263,1.249645,2.041013,-0.1398843,-0.1794349,-0.9737614,204.6453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
204.6761,-0.005439191,1.544043,-0.01968743,0.1364711,0.07608922,-0.04349232,-0.04349232,False,False,-3.454142,1.249626,2.040733,-0.1255187,-0.1800776,-0.9756085,204.6705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
204.7145,-0.002907222,1.542483,-0.01789433,0.1370637,0.08118904,-0.04088096,-0.04088096,False,False,-3.471523,1.243222,2.036308,-0.01579036,-0.218955,-0.9755972,204.7094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
