AppTime,HMDPos_x,HMDPos_y,HMDPos_z,HMDRot_x,HMDRot_y,HMDRot_z,HMDRot_w,EyeBlink_left,EyeBlink_right,EyePos_org_x,EyePos_org_y,EyePos_org_z,EyePos_dir_x,EyePos_dir_y,EyePos_dir_z,Eye_time_stamp,LeftPos_x,LeftPos_y,LeftPos_z,LeftVelocity,LeftRot_x,LeftRot_y,LeftRot_z,LeftRot_w,RightPos_x,RightPos_y,RightPos_z,RightVelocity,RightRot_x,RightRot_y,RightRot_z,RightRot_w
14.17061,0.3632295,1.500134,0.049614,-0.05552281,0.08433196,0.04912618,0.04912618,False,False,-3.861412,1.201852,1.970241,-0.1985066,-0.1315605,-0.9712178,14.16488,0.4079921,1.040749,0.2473238,0.003577974,-0.20044,0.1757088,0.04506197,0.04506197,0.6145308,1.090343,0.1186638,0.008896104,-0.2383171,0.4469116,-0.08731347,-0.08731347,
14.19575,0.3627918,1.50015,0.05020696,-0.05455277,0.08447075,0.04920392,0.04920392,False,False,-3.852857,1.200906,1.969107,-0.2085825,-0.1366636,-0.9683936,14.18968,0.4083256,1.040891,0.247167,0.005726668,-0.2004241,0.1759551,0.04597921,0.04597921,0.6144348,1.090602,0.1188321,0.006157522,-0.2377339,0.4469158,-0.08535513,-0.08535513,
14.23658,0.3619038,1.500071,0.05141474,-0.05313287,0.08498832,0.04949105,0.04949105,False,False,-3.85456,1.201205,1.968351,-0.2136678,-0.1348502,-0.9675518,14.22951,0.4082856,1.041297,0.2470545,0.00831813,-0.2007855,0.1758615,0.04719608,0.04719608,0.6140367,1.090966,0.1187183,0.01305499,-0.2375625,0.4464417,-0.08323418,-0.08323418,
14.25956,0.361515,1.500067,0.05209734,-0.05204621,0.08517127,0.049807,0.049807,False,False,-3.853351,1.201065,1.967757,-0.1953056,-0.1381986,-0.9709526,14.25379,0.4081431,1.041483,0.2474227,0.01177561,-0.2011059,0.1755065,0.04769405,0.04769405,0.6139713,1.091323,0.1188858,0.01507624,-0.2376323,0.4463095,-0.08196092,-0.08196092,
14.28197,0.3610955,1.500087,0.0527687,-0.05108015,0.08530838,0.05004141,0.05004141,False,False,-3.851136,1.200833,1.967016,-0.2121809,-0.1152528,-0.9704016,14.27573,0.4078562,1.041669,0.2473364,0.0147395,-0.2016023,0.1753439,0.04799692,0.04799692,0.6136512,1.091727,0.1189947,0.01734181,-0.2376482,0.446266,-0.08072665,-0.08072665,
14.30579,0.3607525,1.499951,0.05349369,-0.04970509,0.08511018,0.04976976,0.04976976,False,False,-3.856373,1.201424,1.966763,-0.206542,-0.132393,-0.9694251,14.29929,0.4075866,1.041826,0.2476212,0.01901099,-0.2019702,0.1748916,0.04848343,0.04848343,0.6132979,1.092175,0.1193595,0.02079021,-0.2376244,0.445758,-0.07961137,-0.07961137,
14.32886,0.3603507,1.499874,0.05416311,-0.0481721,0.08488298,0.04940156,0.04940156,False,False,-3.842989,1.199932,1.965652,-0.1286431,-0.1465268,-0.9807932,14.32307,0.4070485,1.041949,0.2478526,0.02558763,-0.202502,0.1741767,0.04859671,0.04859671,0.6129128,1.092522,0.1196641,0.02388721,-0.2375776,0.4451467,-0.07885218,-0.07885218,
14.3687,0.3596795,1.499409,0.05540361,-0.04349816,0.0830111,0.04844161,0.04844161,False,False,-3.872947,1.202841,1.966787,0.12335,-0.2404687,-0.9627789,14.36224,0.4059438,1.042241,0.2485485,0.03790513,-0.2040124,0.1723336,0.04821746,0.04821746,0.6120002,1.093041,0.1205895,0.03379444,-0.2374916,0.443165,-0.0785212,-0.0785212,
14.39354,0.3591931,1.499053,0.05607279,-0.04058642,0.08075591,0.04830872,0.04830872,False,False,-3.878484,1.203118,1.967004,0.2961731,-0.2689927,-0.9164666,14.38756,0.4049792,1.042622,0.2491728,0.04579209,-0.205087,0.1705156,0.04788098,0.04788098,0.6110667,1.093104,0.1214675,0.04345477,-0.2370505,0.4408739,-0.07828914,-0.07828914,
14.41557,0.3586011,1.498711,0.05679145,-0.03734308,0.07762382,0.04836453,0.04836453,False,False,-3.871443,1.202084,1.965998,0.3710579,-0.3298973,-0.8680201,14.40921,0.4038168,1.04302,0.2496033,0.05378141,-0.2063157,0.1684268,0.04694806,0.04694806,0.6097575,1.093277,0.1227555,0.05799411,-0.2361026,0.438118,-0.07882605,-0.07882605,
