AppTime,HMDPos_x,HMDPos_y,HMDPos_z,HMDRot_x,HMDRot_y,HMDRot_z,HMDRot_w,EyeBlink_left,EyeBlink_right,EyePos_org_x,EyePos_org_y,EyePos_org_z,EyePos_dir_x,EyePos_dir_y,EyePos_dir_z,Eye_time_stamp,LeftPos_x,LeftPos_y,LeftPos_z,LeftVelocity,LeftRot_x,LeftRot_y,LeftRot_z,LeftRot_w,RightPos_x,RightPos_y,RightPos_z,RightVelocity,RightRot_x,RightRot_y,RightRot_z,RightRot_w
25.71761,0.009875465,1.583957,-0.04154117,-0.06551784,0.05826117,-0.008532436,-0.008532436,True,False,,,,,,,,-0.1920409,0.6575574,-0.01330018,0.02414797,0.3847989,0.1010518,-0.04663374,-0.04663374,0.151315,0.661079,-0.02693307,0.0137974,0.3296321,-0.1000449,0.07956868,0.07956868,
25.74305,0.009987235,1.58379,-0.04147247,-0.06470025,0.05850293,-0.00890329,-0.00890329,False,False,,,,,,,,-0.1915045,0.6575824,-0.01280975,0.02481789,0.3844192,0.1011527,-0.04683063,-0.04683063,0.1514512,0.6610789,-0.0268153,0.01055322,0.3295118,-0.1001583,0.079863,0.079863,
25.78211,0.01032127,1.583648,-0.04114367,-0.0636094,0.05902465,-0.009595452,-0.009595452,False,False,-3.536844,1.282356,2.06621,-0.0751535,-0.08130639,-0.9938444,25.77482,-0.1918693,0.6576614,-0.01309192,0.01975018,0.3841338,0.1015519,-0.04682379,-0.04682379,0.1516596,0.6610233,-0.0264957,0.01037927,0.3292769,-0.09984531,0.07993695,0.07993695,
25.80799,0.01041491,1.583557,-0.04099144,-0.0636346,0.05929988,-0.009639353,-0.009639353,False,False,-3.473032,1.286205,2.060977,-0.05180511,-0.06781659,-0.9963418,25.80232,-0.1917598,0.6576666,-0.01298463,0.01475555,0.3843063,0.1020819,-0.04677699,-0.04677699,0.1516103,0.6610707,-0.02622533,0.009145018,0.3287599,-0.09993564,0.07987942,0.07987942,
25.84618,0.01063252,1.583519,-0.0406069,-0.06371023,0.06000904,-0.009845938,-0.009845938,False,False,-3.475069,1.285951,2.06029,-0.06734927,-0.09680188,-0.9930173,25.83939,-0.1913369,0.6578074,-0.01281273,0.009340547,0.3843868,0.1023879,-0.04699073,-0.04699073,0.1519254,0.6611953,-0.02604342,0.008019625,0.3285591,-0.09932946,0.07980253,0.07980253,
25.86999,0.01066689,1.583581,-0.04034702,-0.06369423,0.06022474,-0.01002526,-0.01002526,False,False,-3.533474,1.281975,2.064763,-0.03882663,-0.1259031,-0.9912796,25.86408,-0.1912531,0.6577728,-0.01288223,0.006226829,0.3843831,0.1020915,-0.04667845,-0.04667845,0.1519885,0.6612875,-0.02606237,0.005795812,0.3285841,-0.0988493,0.07989005,0.07989005,
25.89388,0.01051402,1.583686,-0.04014024,-0.06352448,0.06036064,-0.009627256,-0.009627256,False,False,-3.53632,1.2813,2.064912,0.09003253,-0.2548541,-0.9627701,25.88813,-0.1910686,0.6578256,-0.01270938,0.003018753,0.384571,0.1013775,-0.0463594,-0.0463594,0.1518795,0.6612143,-0.02613187,0.001059857,0.3287316,-0.0991749,0.08027884,0.08027884,
25.91767,0.01056626,1.583516,-0.04004593,-0.06309619,0.06015426,-0.008797193,-0.008797193,False,False,-3.53281,1.281217,2.064626,0.1359959,-0.3663499,-0.920474,25.91155,-0.1911596,0.6575955,-0.01270294,0.002082828,0.3847254,0.1005191,-0.04607213,-0.04607213,0.1519084,0.6612051,-0.02620327,0.003046237,0.3287532,-0.09993497,0.08016684,0.08016684,
25.94369,0.01053203,1.58339,-0.03970614,-0.06261332,0.05984471,-0.007999674,-0.007999674,False,False,-3.487856,1.284034,2.060981,0.1751025,-0.3665027,-0.913789,25.9383,-0.1918137,0.6575187,-0.01313114,0.003828896,0.3847047,0.1001025,-0.04632613,-0.04632613,0.1516792,0.6611636,-0.02636683,0.007355405,0.3289523,-0.1007102,0.07986776,0.07986776,
25.97866,0.0100689,1.583068,-0.03869591,-0.06103581,0.05794038,-0.00701924,-0.00701924,False,False,-3.501016,1.283096,2.061509,0.1707136,-0.3190378,-0.932233,25.97207,-0.1920983,0.6577364,-0.01309705,0.004201988,0.3846972,0.09986433,-0.04648668,-0.04648668,0.1512493,0.6610253,-0.02643967,0.009581966,0.3295482,-0.101136,0.07952578,0.07952578,
