AppTime;HMDPos_x,HMDPos_y,HMDPos_z;MDRot_x,HMDRot_y,HMDRot_z,HMDRot_w;EyePos_x,EyePos_y,EyePos_z;LeftPos_x,LeftPos_y,LeftPos_z;LeftRot_x,LeftRot_y,LeftRot_z,LeftRot_w;RightPos_x,RightPos_y,RightPos_z;RightRot_x,RightRot_y,RightRot_z,RightRot_w;
116.0345;0.7539482,1.448623,-0.06675202;0.05862259,0.5301617,-0.006400748,0.8458434;-3.913971,1.152972,2.230586;0.9939449,1.246446,0.01007667;0.1165911,0.8540469,0.323825,0.3900613;0.9063741,1.294339,-0.2376671;-0.5568368,0.4237907,0.159812,0.6962718;
116.0456;0.7542255,1.448697,-0.06676006;0.05823683,0.5310937,-0.006596107,0.8452837;-3.915171,1.153072,2.233003;0.9934623,1.246193,0.0106633;0.1158454,0.8528821,0.3255771,0.3913713;0.9066725,1.294254,-0.2377589;-0.5569543,0.4237328,0.1599204,0.6961882;
116.0574;0.754463,1.448824,-0.06686296;0.0579762,0.5318831,-0.006755855,0.8448039;-3.912436,1.152656,2.224559;0.9940915,1.245987,0.01089075;0.1152907,0.8517022,0.3272731,0.3926879;0.9065042,1.294122,-0.237796;-0.557108,0.4237548,0.1599825,0.6960375;
116.0676;0.7547787,1.448858,-0.06691319;0.05772493,0.5327464,-0.006883258,0.844276;-3.910604,1.152444,2.218923;0.9941971,1.246022,0.01133022;0.11328,0.8505634,0.3293319,0.3940179;0.9067994,1.294075,-0.2379307;-0.5569978,0.4239343,0.1605483,0.6958861;
116.0795;0.7550417,1.448924,-0.06696951;0.05742306,0.533654,-0.007120081,0.8437212;-3.910638,1.152521,2.21878;0.9941036,1.245885,0.01197833;0.1128224,0.849366,0.3308417,0.3954647;0.906306,1.294335,-0.2378569;-0.5567805,0.4245528,0.1611645,0.6955404;
116.0914;0.7552783,1.448992,-0.0670082;0.05725311,0.5345815,-0.007220071,0.8431445;-3.909837,1.152456,2.215674;0.9943917,1.245808,0.01236126;0.1125268,0.8483506,0.3319098,0.396831;0.9069431,1.29445,-0.2379613;-0.5567172,0.4252791,0.1616079,0.6950443;
116.1013;0.7554606,1.449075,-0.0669825;0.05703522,0.5356148,-0.007308196,0.8425025;-3.912579,1.152819,2.222782;0.9948298,1.245622,0.01273045;0.1133016,0.847343,0.3325759,0.3982035;0.9071286,1.29432,-0.2380146;-0.5569386,0.425877,0.16178,0.6944606;
116.1123;0.7556695,1.449145,-0.06694975;0.05679895,0.5365124,-0.007290096,0.8419473;-3.913185,1.153009,2.224506;0.9953532,1.245466,0.01310509;0.1144643,0.8463734,0.3334112,0.399233;0.9074864,1.294373,-0.2382177;-0.55748,0.4265531,0.1614797,0.6936806;
116.1233;0.7559416,1.449234,-0.06692986;0.05644756,0.5374779,-0.007256562,0.8413553;-3.915821,1.153406,2.231754;0.9957665,1.245464,0.01342818;0.1168816,0.8454491,0.3344015,0.3996625;0.907889,1.29435,-0.2385238;-0.5578574,0.426991,0.1612029,0.693172;
116.1342;0.7562082,1.449321,-0.06694913;0.0562402,0.5384075,-0.00719419,0.840775;-3.917041,1.153546,2.234354;0.996453,1.245353,0.0137223;0.1193966,0.8444747,0.3355603,0.4000078;0.9083188,1.294122,-0.2386369;-0.5580942,0.4274639,0.1610612,0.6927227;
116.1466;0.7565198,1.449358,-0.06699979;0.05586596,0.5393941,-0.007067688,0.8401685;-3.917526,1.153646,2.235276;0.9965886,1.245356,0.01426813;0.120184,0.8435242,0.3367094,0.400811;0.908686,1.29406,-0.2388528;-0.5581931,0.4278902,0.1612211,0.6923426;
116.1572;0.7567091,1.449524,-0.06696407;0.0554595,0.5404531,-0.006836473,0.8395165;-3.918972,1.15389,2.238946;0.9960351,1.245521,0.0149456;0.1194683,0.8425266,0.3381369,0.40192;0.9095657,1.293769,-0.2390424;-0.5578435,0.4284666,0.1619059,0.692108;
116.1672;0.7570013,1.449717,-0.06691809;0.05493598,0.5413492,-0.006565936,0.8389755;-3.91896,1.153771,2.237423;0.9963543,1.24579,0.01540664;0.1184873,0.8413737,0.3402663,0.4028275;0.9093963,1.293719,-0.2390644;-0.5577765,0.4286817,0.1626022,0.6918657;
116.1792;0.7572316,1.44988,-0.06686166;0.05425287,0.5423712,-0.006285887,0.8383619;-3.920107,1.153891,2.239938;0.9963583,1.246192,0.01589969;0.1180891,0.8401983,0.3422952,0.403678;0.9097433,1.293592,-0.2392012;-0.5575204,0.428976,0.1632598,0.6917347;
116.1914;0.757426,1.450074,-0.06681442;0.05363798,0.543374,-0.005991056,0.8377541;-3.919582,1.153882,2.237542;0.996857,1.246459,0.01624745;0.1178843,0.839138,0.3442674,0.4042656;0.9087051,1.293855,-0.2389168;-0.5570973,0.429371,0.1640121,0.6916527;
116.2032;0.7574506,1.450371,-0.06670773;0.05265932,0.5444136,-0.005650056,0.8371434;-3.918677,1.153882,2.234231;0.9973336,1.246782,0.01660362;0.1181633,0.8381125,0.3457217,0.4050696;0.9090345,1.293728,-0.2390271;-0.5567701,0.4298216,0.1645319,0.6915127;
116.214;0.7577107,1.450594,-0.06669687;0.05195679,0.5453718,-0.005257181,0.8365659;-3.916711,1.153955,2.229064;0.9979947,1.247171,0.01703161;0.1193238,0.8370912,0.346794,0.4059239;0.9087527,1.293821,-0.2389624;-0.5563191,0.4303713,0.1649263,0.6914399;
116.2251;0.7578427,1.450854,-0.0666737;0.05102149,0.5463599,-0.004813486,0.8359812;-3.919451,1.154696,2.237611;0.9987842,1.247371,0.01723757;0.1208036,0.8362018,0.3476085,0.4066219;0.9088778,1.29376,-0.2389215;-0.5560439,0.4307902,0.165129,0.6913518;
116.2362;0.7579863,1.451035,-0.06668303;0.05016084,0.5475697,-0.004502993,0.8352432;-3.919945,1.155349,2.240615;0.9993961,1.247598,0.0174506;0.1220475,0.835296,0.3485846,0.4072761;0.9092902,1.293605,-0.239053;-0.5558738,0.4313582,0.1650636,0.6911501;
116.2469;0.7581948,1.451302,-0.06673346;0.04913622,0.5485985,-0.004150428,0.8346306;-3.920001,1.155879,2.240842;1.000058,1.247815,0.01760057;0.1235078,0.8345421,0.3490919,0.4079464;0.9102645,1.293294,-0.2390106;-0.5556828,0.4319693,0.1649473,0.6909497;
116.2591;0.7582924,1.45159,-0.06668954;0.04807649,0.5496753,-0.003738212,0.8339855;1.00101,1.247736,0.01791221;0.1244161,0.8338731,0.3494627,0.4087203;0.9110024,1.293176,-0.2388905;-0.5553544,0.4328078,0.1648979,0.6907008;
116.2689;0.7585342,1.451848,-0.06671282;0.04685052,0.5507497,-0.003442812,0.8333474;1.001525,1.247886,0.01799032;0.1249563,0.8333632,0.3497337,0.4093629;0.9114738,1.292986,-0.2389712;-0.5550748,0.433495,0.1649107,0.6904915;
116.2798;0.7586882,1.452201,-0.0667694;0.04552409,0.5519145,-0.00309525,0.8326514;1.002172,1.248012,0.01798064;0.1250522,0.8329676,0.3499535,0.4099505;0.9125352,1.29257,-0.239088;-0.5548189,0.4341708,0.165174,0.6902096;
116.2917;0.7589557,1.452497,-0.0668382;0.04411792,0.5530809,-0.002725077,0.8319542;1.002368,1.248495,0.01791295;0.1249671,0.8326128,0.3504589,0.4102655;0.9130124,1.292349,-0.2391483;-0.5544247,0.4348796,0.1655464,0.6899909;
116.3028;0.7592621,1.452804,-0.06691809;0.04249805,0.5544669,-0.002307599,0.8311167;1.002446,1.248706,0.01790234;0.1251047,0.8321298,0.3511017,0.4106536;0.9139056,1.291943,-0.2391855;-0.5542103,0.4355116,0.1657876,0.6897066;
116.3133;0.7595319,1.453171,-0.06706453;0.04105752,0.5558748,-0.001840305,0.8302494;1.002977,1.248944,0.0178493;0.1252759,0.8316996,0.3522304,0.4105065;0.9127259,1.292059,-0.2390283;-0.5539033,0.4359792,0.1661069,0.689581;
116.3253;0.7597586,1.453485,-0.06717923;0.03941389,0.5571945,-0.001489264,0.8294448;-3.903898,1.155739,2.184045;1.003072,1.249293,0.01792115;0.1256692,0.8311909,0.3532331,0.4105548;0.9131466,1.29185,-0.2391226;-0.5536361,0.4365927,0.1661929,0.6893865;
116.3353;0.7598829,1.453819,-0.06730887;0.03777436,0.5586058,-0.0010343,0.828572;-3.918517,1.158646,2.240146;1.003487,1.24947,0.01786909;0.1261367,0.830593,0.3546082,0.4104363;0.9134105,1.291762,-0.238973;-0.5532182,0.4373722,0.1663996,0.689178;
116.3514;0.7602049,1.45419,-0.06745958;0.03609343,0.5600488,-0.0004559906,0.8276729;-3.919497,1.158693,2.239922;1.003666,1.249573,0.01800385;0.1264878,0.8299817,0.3559293,0.410421;0.9138491,1.291561,-0.239093;-0.5530665,0.4380094,0.1663626,0.688904;
116.361;0.7602319,1.454628,-0.06751181;0.03420373,0.5615822,0.0002275985,0.8267137;-3.920075,1.158702,2.239716;1.003891,1.249869,0.01801637;0.1269145,0.829446,0.3569738,0.4104652;0.9127015,1.29179,-0.2387532;-0.552883,0.4384524,0.1665026,0.6887357;
116.3712;0.7605959,1.455037,-0.06764312;0.03232368,0.5631375,0.0008243915,0.8257304;-3.92791,1.155864,2.236807;1.004085,1.250021,0.01802421;0.1271716,0.8288992,0.3579484,0.4106416;0.913075,1.291631,-0.2388952;-0.5529274,0.4391599,0.1665123,0.6882467;
116.3822;0.7608858,1.455516,-0.06786624;0.03017446,0.5647039,0.00160046,0.8247402;-3.924086,1.155968,2.224955;1.00437,1.250059,0.01790521;0.1274003,0.8285147,0.3586049,0.4107739;0.9131706,1.291588,-0.2387827;-0.5529436,0.4397892,0.1664711,0.6878417;
116.3931;0.7611659,1.455968,-0.0680739;0.02796438,0.5663792,0.002337175,0.8236669;-3.914693,1.156154,2.196046;1.00459,1.249857,0.01779172;0.1269682,0.8282706,0.3588697,0.4111686;0.9138641,1.291399,-0.2388614;-0.5527068,0.4406727,0.1665697,0.6874427;
116.4032;0.7614791,1.456406,-0.06829276;0.02557268,0.5680353,0.003206249,0.8226005;-3.911931,1.156526,2.187186;1.004806,1.249893,0.01759532;0.1268498,0.8278131,0.3594313,0.4116355;0.9142427,1.291327,-0.2390634;-0.552543,0.441377,0.1668259,0.6870602;
116.4139;0.761722,1.456997,-0.06847351;0.02275236,0.5698323,0.004245689,0.8214351;-3.912339,1.156419,2.182537;1.004974,1.24982,0.0174664;0.1264952,0.8271871,0.3599416,0.4125563;0.9130883,1.291282,-0.2391346;-0.5524258,0.4416981,0.1671872,0.6868603;
116.424;0.7620629,1.457604,-0.06866385;0.01977022,0.5716606,0.005333822,0.8202347;-3.913861,1.156425,2.182169;1.005603,1.249732,0.01727256;0.1262915,0.8262908,0.3608451,0.4136238;0.9134451,1.291115,-0.239269;-0.5520799,0.4424002,0.1674749,0.6866163;
116.4338;0.762318,1.458259,-0.06884535;0.01651965,0.5736431,0.006672091,0.8189117;-3.914524,1.156709,2.181879;1.005752,1.249625,0.01738784;0.126118,0.8254067,0.3618245,0.4145853;0.9136897,1.291143,-0.238988;-0.5515625,0.4432281,0.1677937,0.6864204;
116.4429;0.7627199,1.458911,-0.06909843;0.01327971,0.5755511,0.007962655,0.8176193;-3.914827,1.157109,2.181826;1.005825,1.249536,0.01745626;0.1255922,0.8241594,0.3631578,0.416058;0.9143461,1.291037,-0.2389687;-0.5513295,0.4440537,0.1679967,0.6860243;
116.455;0.7630527,1.459499,-0.06938187;0.00984297,0.5776017,0.009383547,0.8162055;-3.917196,1.157127,2.182509;1.006215,1.24978,0.01767299;0.124918,0.8226898,0.3649957,0.4175587;0.9148362,1.290878,-0.2391137;-0.551168,0.4447836,0.1680296,0.685673;
116.4659;0.7634025,1.460178,-0.0696625;0.006225781,0.5796083,0.01091005,0.8147985;-3.913658,1.158812,2.183016;1.006539,1.249576,0.01775876;0.1238183,0.8210713,0.3666678,0.4196017;0.9156557,1.290705,-0.2392702;-0.5508817,0.4459742,0.1679889,0.6851394;
116.477;0.7637339,1.460918,-0.06990315;0.002534498,0.5817411,0.01264062,0.8132718;-3.903489,1.162772,2.186049;1.006414,1.249649,0.01827946;0.1222238,0.8190645,0.3686436,0.4222518;0.9161924,1.290539,-0.2394105;-0.5506599,0.446959,0.1679047,0.6846966;
116.488;0.7639717,1.461767,-0.07005239;-0.001881971,0.5840006,0.01480247,0.8116161;-3.906671,1.162937,2.191286;1.005661,1.249744,0.01907924;0.120373,0.816704,0.3704295,0.4257781;0.9136022,1.290769,-0.2392359;-0.5503774,0.4478955,0.1677541,0.6843485;
116.4999;0.7643514,1.462636,-0.07032686;-0.006464063,0.5861695,0.01706461,0.809983;-3.908251,1.163463,2.194108;1.005435,1.249774,0.01970011;0.1185471,0.8140862,0.3724391,0.4295339;0.9140942,1.290569,-0.2393589;-0.5500247,0.4490577,0.1676393,0.6838984;
116.5098;0.7647325,1.463565,-0.07056992;-0.01114295,0.5884879,0.01942018,0.8081959;-3.915251,1.16249,2.198651;1.005194,1.250055,0.02095619;0.1174432,0.8106773,0.3750634,0.433978;0.9151081,1.290214,-0.239231;-0.5499276,0.45011,0.1672573,0.6833782;
116.5219;0.7648791,1.464528,-0.07084176;-0.01541833,0.5907263,0.02170192,0.8064328;-3.917485,1.163025,2.205086;1.004818,1.249634,0.02162308;0.1175013,0.8073252,0.377964,0.4376787;0.9161427,1.289906,-0.2391607;-0.5497306,0.4510182,0.1670814,0.6829808;
116.5321;0.7651207,1.465286,-0.07117814;-0.01955212,0.5930546,0.02396136,0.8045681;-3.925154,1.163027,2.226738;1.004503,1.249776,0.02286485;0.1181853,0.8039317,0.3810337,0.4410661;0.9167333,1.289591,-0.2392688;-0.5496343,0.4515032,0.1665219,0.6828744;
116.5438;0.7655652,1.466074,-0.07162175;-0.02360782,0.5953888,0.02626187,0.8026614;-3.917672,1.166468,2.235838;1.004628,1.249568,0.02387384;0.1183326,0.8003527,0.3837995,0.4451191;0.9154545,1.289786,-0.2391374;-0.5485969,0.4519373,0.166828,0.6833467;
116.5548;0.7655933,1.466864,-0.07195412;-0.02776651,0.5977355,0.02860601,0.8007016;-3.912913,1.166867,2.208461;1.004019,1.249165,0.02452949;0.1173245,0.7965482,0.3861972,0.4501085;0.9158876,1.289547,-0.2388707;-0.5478448,0.4527603,0.1667661,0.6834203;
116.5659;0.7658667,1.467675,-0.07229125;-0.03192903,0.6001667,0.03106163,0.7986337;-3.912803,1.168416,2.223026;1.004632,1.248622,0.02529052;0.1161559,0.7923672,0.3889882,0.4553572;0.9165493,1.289199,-0.2387717;-0.5466043,0.4537494,0.1668656,0.6837332;
116.576;0.7660754,1.468552,-0.07267471;-0.0357741,0.6024641,0.033408,0.7966436;-3.922231,1.166785,2.224328;1.004283,1.248316,0.02674755;0.1135689,0.7875374,0.391422,0.4622508;0.9156002,1.289125,-0.2385811;-0.5457401,0.4544111,0.1670285,0.6839443;
116.5876;0.766314,1.469231,-0.0731228;-0.03944622,0.6048222,0.03554673,0.7945883;-3.909918,1.169183,2.192868;1.003704,1.248266,0.02845171;0.1096269,0.7823321,0.3932699,0.4704011;0.9162093,1.288754,-0.238526;-0.5447087,0.4555303,0.1669788,0.6840342;
116.5986;0.7665454,1.469896,-0.07350886;-0.04273431,0.6072096,0.03764931,0.7924978;-3.901598,1.171533,2.188751;1.003612,1.247745,0.0298599;0.1055465,0.7772226,0.3946971,0.4785385;0.9169257,1.288324,-0.2383034;-0.54367,0.456923,0.1667828,0.6839794;
116.6097;0.7667152,1.470463,-0.07396151;-0.04563613,0.6095718,0.03966124,0.7904218;-3.917311,1.169043,2.184299;1.004735,1.246643,0.03045633;0.09962241,0.7720232,0.395153,0.4877599;0.9182718,1.287777,-0.2381847;-0.5428588,0.4580758,0.1662276,0.6839879;
116.6217;0.7669133,1.471079,-0.07443719;-0.04854879,0.6118752,0.04159519,0.7883664;-3.919661,1.169426,2.185812;1.004535,1.246113,0.03181157;0.09361925,0.7672691,0.3952541,0.496294;0.9188656,1.287396,-0.2381623;-0.5423667,0.4589376,0.1658347,0.6838959;
116.6327;0.7672015,1.471666,-0.07488581;-0.05136315,0.6141306,0.04344312,0.7863321;-3.918292,1.171027,2.225951;1.004376,1.245268,0.03337577;0.08825535,0.7630123,0.3956629,0.5034621;0.9180908,1.28722,-0.2379871;-0.541876,0.4594822,0.1657056,0.6839505;
116.6434;0.7674021,1.472186,-0.07532023;-0.05373991,0.6162677,0.04509431,0.7844059;-3.921984,1.171087,2.24016;1.004199,1.244839,0.03475162;0.0842862,0.7595642,0.3957071,0.5092878;0.9185622,1.286825,-0.2380284;-0.541438,0.4602368,0.165375,0.6838699;
116.6547;0.7676004,1.472645,-0.07569394;-0.05607434,0.6183938,0.04668827,0.7824736;-3.920464,1.171888,2.24126;1.003379,1.244575,0.03588817;0.08139578,0.7560741,0.3959514,0.5147322;0.9174501,1.287008,-0.23766;-0.5408455,0.4607919,0.1652413,0.6839973;
116.6655;0.7678183,1.472976,-0.07618327;-0.05796306,0.6204886,0.04789837,0.7806023;-3.920448,1.172372,2.240792;1.002317,1.244287,0.03730872;0.08146279,0.753314,0.3964545,0.5183683;0.9175214,1.286728,-0.2375666;-0.5402002,0.4613574,0.1650887,0.6841629;
116.6762;0.767713,1.473472,-0.07656962;-0.05983875,0.6223872,0.04914477,0.7788699;-3.920274,1.17287,2.239475;1.002689,1.242895,0.0379872;0.08394285,0.7505789,0.3976317,0.5210317;0.9178585,1.286389,-0.2376212;-0.5397716,0.4619862,0.1648955,0.6841235;
116.6883;0.7677477,1.47391,-0.07698272;-0.0614989,0.624305,0.05007529,0.7771446;-3.917678,1.173792,2.218619;1.00075,1.242095,0.03949019;0.08816994,0.7480766,0.3989989,0.5228838;0.9179435,1.285998,-0.2376196;-0.5393475,0.4626351,0.1648081,0.6840405;
116.6983;0.7680237,1.474224,-0.07750895;-0.06311539,0.6261309,0.05094454,0.7754878;-3.914405,1.174943,2.205105;1.000254,1.240719,0.0406591;0.09171827,0.7451189,0.4005293,0.5253208;0.9182106,1.285687,-0.2378027;-0.5391723,0.4634337,0.1647876,0.6836429;
116.7086;0.7681375,1.474604,-0.07800911;-0.06477586,0.6277179,0.05199873,0.7739964;-3.912128,1.175795,2.193724;0.9990228,1.239717,0.04178914;0.09677909,0.742562,0.402326,0.5266587;0.9174293,1.285682,-0.237722;-0.5392673,0.464178,0.1646101,0.6831055;
116.7209;0.7682018,1.474955,-0.07857314;-0.06643131,0.6293466,0.05288548,0.772472;-3.914,1.176178,2.188891;0.9985018,1.23838,0.04280597;0.1007239,0.7403181,0.4037217,0.5280082;0.9176419,1.285394,-0.2379851;-0.5395454,0.4647433,0.1642055,0.6825988;
116.7329;0.7683764,1.475242,-0.0791694;-0.06838463,0.6307682,0.05399238,0.7710641;-3.915228,1.176523,2.189184;0.998813,1.236598,0.04323307;0.1046151,0.7381771,0.4057314,0.5287081;0.9177812,1.285504,-0.2380443;-0.540015,0.4651828,0.1637073,0.6820475;
116.7439;0.7685575,1.475635,-0.07964526;-0.0705036,0.6322216,0.05512197,0.7696017;-3.913972,1.177101,2.192523;0.9983832,1.235572,0.04467764;0.1080526,0.7359436,0.4075376,0.5297403;0.9185007,1.284962,-0.2383953;-0.5403818,0.4659857,0.1631314,0.6813465;
116.7548;0.7687847,1.476017,-0.08019176;-0.07290732,0.6334807,0.05630624,0.7682554;-3.918025,1.176555,2.211459;0.9978539,1.234049,0.04546332;0.1108317,0.7335152,0.409589,0.5309507;0.9187537,1.284682,-0.2387837;-0.5407252,0.4666954,0.1627368,0.6806824;
116.7656;0.7689228,1.476474,-0.08071573;-0.07526226,0.6347259,0.05748615,0.766912;-3.920156,1.176367,2.22256;0.9968787,1.232773,0.04691648;0.1131858,0.7303961,0.4115697,0.5332177;0.920065,1.283943,-0.2391544;-0.5410109,0.4674364,0.1623002,0.6800508;
116.7768;0.7691814,1.476838,-0.08128579;-0.07775491,0.6358408,0.05853397,0.7656595;-3.92185,1.176318,2.230299;0.9966868,1.231045,0.047611;0.1151362,0.7271814,0.4131715,0.535948;0.921222,1.283483,-0.2394013;-0.5411573,0.4683293,0.1620264,0.6793849;
116.7895;0.7693859,1.477216,-0.08180682;-0.07996497,0.6368666,0.05943616,0.764509;-3.92103,1.176788,2.229954;0.9969891,1.229413,0.04863748;0.115774,0.7239861,0.4141024,0.5394068;0.9216529,1.283103,-0.239804;-0.541261,0.4691558,0.1618791,0.678767;
116.7997;0.7695397,1.477551,-0.08231944;-0.08221678,0.6378915,0.06025784,0.7633504;-3.919569,1.177539,2.221575;0.996805,1.228311,0.05013797;0.1165237,0.7211455,0.4152271,0.5421789;0.9210798,1.282638,-0.2401571;-0.5412672,0.4697621,0.1616127,0.6784061;
116.8103;0.7695974,1.477891,-0.0828346;-0.08425952,0.6388142,0.06092061,0.7623028;-3.919984,1.1778,2.222365;0.9966441,1.226951,0.05094621;0.1168263,0.7188861,0.4162965,0.54429;0.921616,1.282187,-0.2405567;-0.5409453,0.470889,0.1613453,0.6779451;
116.8229;0.7696997,1.478161,-0.08331209;-0.08634228,0.6396791,0.06145107,0.7613012;-3.922666,1.177089,2.243448;0.9947712,1.226321,0.0524171;0.1169952,0.7171558,0.4170336,0.5459694;0.9211019,1.282105,-0.2407182;-0.540431,0.472167,0.1610476,0.677537;
116.8328;0.7696613,1.478424,-0.08381446;-0.08819359,0.6404687,0.06192199,0.7603865;-3.92296,1.177205,2.246414;0.9934288,1.225475,0.05370447;0.1171785,0.7153221,0.4171947,0.5482081;0.9212202,1.281778,-0.2408344;-0.5399645,0.4732395,0.1603294,0.677331;
116.8448;0.7696683,1.478678,-0.08415258;-0.09005151,0.6412661,0.06230424,0.7594648;-3.922878,1.17753,2.246475;0.9935018,1.22436,0.05455014;0.1173878,0.7130933,0.4170863,0.5511416;0.9218929,1.281246,-0.2411602;-0.5396991,0.4741477,0.1594867,0.6771064;
116.856;0.7696866,1.478897,-0.08462025;-0.09167697,0.6419135,0.06271283,0.7586894;-3.923048,1.177686,2.247153;0.9925022,1.224,0.05611375;0.1181136,0.710126,0.4175169,0.5544817;0.9223559,1.280776,-0.2412989;-0.5395418,0.4747606,0.1586843,0.6769906;
116.8683;0.7697612,1.47913,-0.08508503;-0.09314906,0.6423858,0.06306627,0.7580807;-3.923099,1.177957,2.246582;0.9919558,1.223308,0.05753952;0.1186847,0.7069343,0.4184095,0.5577556;0.9229991,1.28039,-0.241568;-0.5390064,0.475644,0.1580243,0.6769515;
116.879;0.76968,1.479307,-0.08550516;-0.09468091,0.64299,0.06337895,0.7573524;-3.922363,1.178415,2.242881;0.9915551,1.222854,0.05911365;0.1193577,0.7033759,0.419948,0.5609454;0.9238312,1.27986,-0.2416945;-0.5376675,0.4770896,0.1579315,0.6770205;
116.8918;0.7696522,1.47946,-0.08588359;-0.09603873,0.6434537,0.06362092,0.756767;-3.919557,1.180342,2.216494;0.9906601,1.222237,0.06085625;0.1204086,0.6999521,0.422242,0.5632766;0.9239247,1.279615,-0.241622;-0.5361242,0.4785303,0.1579341,0.6772271;
116.9018;0.7695933,1.479607,-0.08627237;-0.09711995,0.6438118,0.06395115,0.7562965;-3.91876,1.181144,2.208439;0.990873,1.221797,0.06229708;0.1219636,0.6962883,0.4253215,0.565163;0.924765,1.279129,-0.2416872;-0.5349447,0.4795912,0.1575456,0.6774998;
116.9127;0.7695665,1.479786,-0.08660451;-0.09813987,0.6441279,0.06435598,0.7558612;-3.919853,1.18066,2.218601;0.9893373,1.222303,0.06449631;0.1237706,0.6927004,0.4290851,0.566333;0.9262853,1.278235,-0.2417876;-0.534354,0.480219,0.1568627,0.6776797;
116.926;0.7694972,1.479992,-0.08690992;-0.0989686,0.6443861,0.06475094,0.7554993;-3.918707,1.181696,2.206725;0.9889574,1.222339,0.06622204;0.1255767,0.6890984,0.4323277,0.5678616;0.9265691,1.27801,-0.2417641;-0.5337343,0.4809165,0.1561323,0.677842;
116.9368;0.7694016,1.48009,-0.08720908;-0.09957361,0.6445552,0.06514111,0.7552419;-3.918685,1.181936,2.206473;0.9887214,1.222576,0.06786475;0.1261602,0.6857212,0.4354029,0.5694685;0.9273523,1.277647,-0.2418539;-0.5334038,0.4813265,0.1551609,0.6780342;
116.9466;0.7693453,1.480168,-0.08747204;-0.1001716,0.6446844,0.0654426,0.7550265;-3.919457,1.181646,2.213096;0.9878594,1.222941,0.06956246;0.1253609,0.6830233,0.4379068,0.5709655;0.9278659,1.277314,-0.2418261;-0.5331047,0.4818366,0.1545591,0.6780446;
116.9587;0.769269,1.480242,-0.08776259;-0.1005464,0.644698,0.0657398,0.7549392;-3.920461,1.180956,2.225322;0.9880756,1.223042,0.07077762;0.1245296,0.6803596,0.4403628,0.5724367;0.9285431,1.27709,-0.2418649;-0.5327818,0.4823444,0.1540796,0.6780464;
116.9696;0.7692266,1.480258,-0.08797008;-0.1008363,0.6448327,0.06592836,0.754769;-3.921312,1.180226,2.237016;0.9875125,1.223655,0.07242706;0.1230265,0.6785125,0.4425412,0.5732736;0.9280176,1.277253,-0.2416106;-0.5326596,0.4827768,0.1537973,0.6778988;
116.9807;0.7692015,1.48029,-0.08823113;-0.1008705,0.644662,0.06608992,0.7548962;-3.92186,1.179729,2.245212;0.9858916,1.224467,0.07395062;0.1211276,0.6769637,0.4445178,0.5739793;0.9282917,1.277074,-0.241556;-0.5326273,0.4831699,0.1534423,0.6777245;
116.9917;0.7693033,1.480255,-0.08841938;-0.1008553,0.6444045,0.06616037,0.7551119;-3.921729,1.17987,2.244379;0.9858049,1.225125,0.07503274;0.1192632,0.675863,0.446332,0.574259;0.9287516,1.277052,-0.2415828;-0.5330469,0.4832442,0.1529442,0.6774542;
117.0025;0.7692477,1.480228,-0.08859056;-0.1008197,0.6441963,0.06631248,0.755281;-3.921644,1.179982,2.244015;0.985047,1.226101,0.07626137;0.117535,0.6744049,0.4480867,0.5749625;0.929103,1.277071,-0.241527;-0.5335917,0.4831458,0.152379,0.6772228;
117.0135;0.7691591,1.480243,-0.08876491;-0.1005278,0.6438013,0.06622959,0.7556638;-3.920839,1.180681,2.235988;0.9849776,1.226846,0.07717854;0.115797,0.6737362,0.4493779,0.5750915;0.9295514,1.277064,-0.241529;-0.5342526,0.4829515,0.1514863,0.6770406;
117.0245;0.7691075,1.480189,-0.08891692;-0.1002478,0.6433931,0.06624509,0.7560471;-3.92039,1.181183,2.229907;0.9849461,1.227585,0.07787982;0.1143875,0.6732718,0.4500376,0.5754014;0.9289007,1.277448,-0.2412529;-0.5351437,0.4823259,0.1505816,0.6769847;
117.0357;0.7688682,1.480149,-0.08895502;-0.1000268,0.6428834,0.06604525,0.7565274;-3.920317,1.18121,2.230018;0.9847691,1.228488,0.0788064;0.1131943,0.672933,0.4503998,0.5757502;0.9300177,1.277425,-0.2410571;-0.5357914,0.4816082,0.1499352,0.6771268;
117.0465;0.7686951,1.48016,-0.08899908;-0.09990444,0.6423078,0.06565665,0.757066;-3.920046,1.1814,2.227815;0.9842613,1.229371,0.07972118;0.1124786,0.6723596,0.451216,0.5759213;0.9303359,1.277582,-0.2407985;-0.5364565,0.480684,0.1496074,0.6773293;
117.0584;0.7685422,1.480173,-0.08904358;-0.09980106,0.6417997,0.06533961,0.757538;-3.919935,1.181358,2.228416;0.9836293,1.229939,0.08069327;0.1120546,0.6719005,0.4522872,0.5756994;0.93128,1.277493,-0.2405694;-0.5368755,0.4798872,0.1495638,0.6775718;
117.0693;0.7683214,1.480191,-0.08903004;-0.09979636,0.6412175,0.06486659,0.758072;-3.919808,1.181382,2.228261;0.9841126,1.230367,0.08076006;0.1116472,0.6715328,0.4528776,0.5757435;0.9313663,1.277703,-0.2401662;-0.5372058,0.4792174,0.1497757,0.6777374;
