AppTime;HMDPos_x,HMDPos_y,HMDPos_z;MDRot_x,HMDRot_y,HMDRot_z,HMDRot_w;EyePos_x,EyePos_y,EyePos_z;LeftPos_x,LeftPos_y,LeftPos_z;LeftRot_x,LeftRot_y,LeftRot_z,LeftRot_w;RightPos_x,RightPos_y,RightPos_z;RightRot_x,RightRot_y,RightRot_z,RightRot_w;
51.97449;0.5573691,1.472157,0.0543563;-0.07006083,0.6953502,0.001233903,0.7152469;-3.70951,1.173967,2.075009;0.5993272,0.6707944,0.2637211;-0.02453527,0.712001,-0.4926928,0.4997063;0.5922235,0.633998,-0.1179633;0.4983952,0.5371179,-0.0801926,0.6757779;
51.98523;0.5570626,1.472362,0.05438454;-0.07017978,0.6951465,0.001961237,0.7154316;-3.709642,1.175035,2.067452;0.5998375,0.6709635,0.2630121;-0.03019535,0.7140662,-0.4927123,0.4964195;0.5927602,0.6339889,-0.1158853;0.498164,0.5273718,-0.07531601,0.6841339;
51.99635;0.5568501,1.472615,0.05442194;-0.07067623,0.6949404,0.002802711,0.71558;-3.709105,1.174861,2.069149;0.6008327,0.67172,0.2623;-0.03624768,0.7162825,-0.4904064,0.4951031;0.5940011,0.6342358,-0.1139507;0.4985926,0.5172068,-0.06789505,0.6923097;
52.00826;0.5565246,1.472857,0.05444934;-0.07134024,0.6946826,0.00349601,0.7157614;-3.708578,1.174518,2.072338;0.6015388,0.6721289,0.2614122;-0.04218175,0.7187116,-0.4877652,0.4937199;0.5949897,0.6345942,-0.1119173;0.4998345,0.5063425,-0.05815256,0.7002864;
52.01815;0.5563637,1.473079,0.05446522;-0.07217252,0.6944199,0.004148851,0.7159294;-3.707139,1.172142,2.091371;0.602284,0.6728677,0.2605298;-0.04865607,0.7218361,-0.4830159,0.493235;0.5956262,0.6348397,-0.109889;0.501433,0.4945783,-0.04656926,0.7083704;
52.02892;0.5562268,1.473252,0.05449376;-0.07279134,0.6942049,0.0046923,0.716072;-3.706068,1.171296,2.099952;0.6027224,0.6734259,0.259417;-0.05427022,0.7257218,-0.4787268,0.4911246;0.5959789,0.6351087,-0.1079414;0.5029216,0.4835851,-0.03730788,0.7154184;
52.03928;0.5561027,1.473423,0.05451871;-0.07309747,0.6938946,0.005150621,0.7163383;-3.706293,1.172571,2.092536;0.6029023,0.6736038,0.2579856;-0.06021494,0.7304733,-0.4758703,0.4861383;0.5964729,0.6354104,-0.1061089;0.5041829,0.4717519,-0.02693607,0.7228583;
52.05349;0.5559281,1.47354,0.05457852;-0.07328951,0.6936257,0.005393506,0.7165773;0.6028563,0.6743309,0.2565018;-0.06447101,0.7348858,-0.474242,0.4805008;0.5968425,0.6358085,-0.1042953;0.5043589,0.4615292,-0.01899091,0.7295561;
52.06397;0.5558573,1.473642,0.05457544;-0.07313466,0.69325,0.005422641,0.7169563;0.6024114,0.6738494,0.2549042;-0.06775437,0.7404529,-0.4733283,0.4723338;0.5973003,0.6360499,-0.1027623;0.5041573,0.4519737,-0.01191743,0.735801;
52.07384;0.5557582,1.473721,0.05456828;-0.07283169,0.6927683,0.005483679,0.7174521;0.6016804,0.6724651,0.2532941;-0.06897046,0.7467363,-0.4743016,0.4611573;0.5977929,0.6362671,-0.1018235;0.5018776,0.446488,-0.008557941,0.7407389;
